Nr.;ID;Anrede;Vorname;Nachname;Geburtsdatum;Straße;Hausnummer;Postleitzahl;Stadt;EMail;Deaktiviert;Eintragsdatum;Firma;FahrzeugmodellID;Passwort
37;2791166;;Godelind;Pope;20111924;St.-Johannes-Straße;35;38364;Schöningen;godelindpope@schwarz.none;wahr;25011932;Schwarz UG;4496;qFZZaüxAzBCOaLHF
38;4350334;;Bartholomäus;Wieck;7121957;Zum Freistein;122 a;92718;Schirmitz;bartholomaeuswieck@kulik.none;falsch;5041960;;5357;FMNHbüdZCTUQi
39;9031205;;Liv;Ehrler;21021959;Hühnerberg;187;96155;Buttenheim;l_ehrler@schoeller.none;wahr;20042002;Schöller OHG;6198;yrCELDzpofuamiwg
40;8916512;;Friedberg;Meisinger;1081989;Am Weißen Stein;191;33647;Bielefeld;friedbergmeisinger@rme.none;falsch;25032015;Rme GmbH;6749;JGRpjaGqDppÜk
41;1396912;;Dietz;Voiegt;25031982;Andernacher Weg;63;56170;Bendorf;dietz.voiegt@voiegt.none;falsch;8061988;Voiegt KGaA;838;aXYuLKWZz
42;6316555;;Adolfa;Socher;8091992;Kuhlenkamp;153;57629;Merkelbach;a.socher@navarroundsocher.none;falsch;28122020;;6362;göyKuMXoKä
43;6481133;Herr;Dietwulf;Jäckel;20031920;Kronenweg;50;47055;Duisburg;dietwulf.jaeckel@wojjae.none;falsch;28101997;;4671;ÄrtYNSymSÜÄ
44;9912797;;Hildtraud;Pelster;22021946;Lohberg;22;;47059 Duisburg;h.pelster@ap.none;falsch;30062012;;6642;TüäsßWlAzPWßAhs
45;8105171;;Kornelius;Wehmer;31082005;Börnsener Straße;63;85625;Glonn;kwehmer@villiers.none;falsch;29092007;;2358;gJIDÖEöhIz
46;8733126;;Hanswilhelm;Tomczak;14032002;Breitenbachstraße 116;;57629;Limbach;hanswilhelm.tomczak@buch.none;falsch;28122008;Buch GbR;3765;JOpuNJYÄüZVsdÄM
47;2329647;;Valerie;Golz;17041968;Krummenast;149;57612;Kettenhausen;valerie.golz@roehmundgolz.none;wahr;26031981;Röhm und Golz UG;6598;GUMZlQAtQn
48;3771475;;Ringo;Glanz;28051951;Weezer Straße;144;67061;Ludwigshafen am Rhein;ringoglanz@satler.none;wahr;4011974;Satler KG;6650;MVPrNQNMTwKLWAQ
49;7161488;;Karlotto;Manke;25101973;Scharrenbroicher Straße;47;65623;Hahnstätten;karlotto-manke@keiner.none;falsch;30102018;Keiner GmbH & Co. KG;4690;ydÄEpPQLYwlD
50;9154421;;Maya;Dekan;12121902;St.-Antonius-Strasse;190;56479;Liebenscheid;m_dekan@deupfe.none;wahr;16051924;;4769;fßstmXKdJHGdk
51;9780306;;Siegulf;Wriedt;12021972;Birkenbühl 78;;71726;Benningen am Neckar;swriedt@westhoff.none;falsch;8092015;Westhoff GbR;3487;xpdßNlen ACJk
52;1545913;;Guido;Feldhaus;13031938;Heidehang;102;25337;Seeth-Ekholt;guidofeldhaus@mitchell.none;falsch;28041966;;132;LcYIjTöÜeBp
53;8254044;Frau;Linde;Mittag;7101949;Am Gartenfeld;28;50667;Köln;l.mittag@koehler.none;falsch;29121993;;2812;FgäwuF DZQ
54;8002735;;Friedemann;Ehnert;15011918;Kaiser-Otto-Straße;180;84089;Aiglsbach;f.ehnert@rosenboomundehnert.none;wahr;22032015;Rosenboom und Ehnert KGaA;3632;äByMgbWXImÜONUCl
55;3296451;Herr;Eilrich;Voigt;23051958;Rehkopfweg;39;;79395 Neuenburg am Rhein;eilrich-voigt@hoff.none;wahr;9081959;Hoff GbR;4406;bnuHmBypü 
56;2353160;;Sophia;Dorst;28061956;Grenzhausener Str.;75;14163;Steglitz-Zehlendorf;sophia.dorst@jud.none;wahr;27072011;Jud GmbH;4647;grRRzXHßioXg 
57;4789727;;Juliana;Reinwald;12061904;Neue Siedlung;96;31079;Sibbesse;julianareinwald@weik.none;falsch;25051938;;19;FCchkSMUSZCNä
58;2290357;;Lea;Tiel;21111977;Am Bahndamm;55;37194;Wahlsburg;leatiel@marsch.none;wahr;22121979;;2614;ÜÖrkCbLtäÄvhqqU
59;5629298;;Maren;Wahl;12021995;Germeter;191;67705;Trippstadt;maren.wahl@wennrich.none;falsch;24032011;Wennrich UG;5307;mHÜKpKRM
60;5631055;;Arend;Weyland;7081932;Sieglarer Straße;132;54518;Minderlittgen;aweyland@hormannundweyland.none;wahr;3051979;;4164;ÜivqQJcbTJ
61;2829400;;Burkardt;Kuhlmann;14021979;Walgern;175;66903;Frohnhofen;burkardt-kuhlmann@bueter.none;wahr;29061984;;5849;zUYZtVDEü
62;6092513;Frau;Magdalena;Grund;2101942;Dietkirchenstraße;186;;55496 Argenthal;magdalenagrund@teschner.none;falsch;17072023;;1348;sFTÜAqKDPßL
63;4990179;Herr;Sigisbert;Brunken;25111925;Diepe Kuhweg;112;36399;Freiensteinau;sigisbert_brunken@schuesslerundbrunken.none;falsch;26031977;;2405;OSXlGcEHdBzu
64;2559671;;Heimbert;Nüßlein;1061905;Donnenstrasse;51a;91096;Möhrendorf;heimbertnuesslein@hauptmann.none;wahr;9071922;Hauptmann KGaA;6959;PCUÄyqw ßcIcußßX
65;6954272;;Elfgund;Hierl;29081925;Hähnen;24;;84144 Geisenhausen;e.hierl@benesch.none;falsch;21082006;;1350;vZÖcZIhf
66;8676306;;Ulfried;Cerny;19081970;Steimelweg;83 b;7389;Wilhelmsdorf;ulfriedcerny@elce.none;wahr;19082010;;2527;kclWbäP CZivw
67;9703878;;Sabinchen;Häßler;13061945;Schürenstraße;34;54424;Etgert;sabinchen_haessler@mutz.none;wahr;29121971;Mutz OHG;315;Üö KLCÄPB
68;2431357;;Milli;Meier;30071984;Sonneneck;11;86937;Scheuring;m_meier@huetten.none;falsch;1071987;;5149;BorVImävZwDt
69;7388554;Frau;Hiltraud;Buchmüller;27041905;Im Trog;167;55425;Waldalgesheim;hiltraud_buchmueller@buchmueller.none;falsch;28122016;Buchmüller GmbH & Co. KG;2517;ACjöSGLöFD
70;6346351;;Meinfried;Buchmann;29051949;Auf Lischeid;124;66871;Dennweiler-Frohnbach;meinfried-buchmann@hund.none;wahr;23092018;;3597;vXWbjAntb EvH
71;6906018;;Lehnhard;Krogmann;15042002;Telgenkamp;43;6774;Mühlbeck;lehnhardkrogmann@lachner.none;wahr;25052015;Lachner GmbH;3821;QüUoxPZÄEGq cEAc
72;2302542;;Mila;Laber;16071954;Lammersdorfer Straße 88;;55490;Gemünden;mila.laber@duman.none;falsch;12051958;;812;öweWfKYElLbP U
73;1661813;;Oskar;Lis;13011931;Tegeler Str.;100;76698;Ubstadt-Weiher;oskarlis@wittig.none;wahr;11021950;Wittig KG;4872;ÜpBöOKÄÖ
74;7480300;;Giselher;Born;25011986;Bergisch Gladbacher Straße;196;87509;Immenstadt;g.born@weisgerber.none;wahr;3091995;;5358;vFujuADKJIbUZR
75;1393260;;Wladislaus;Schmelzle;2121940;Dillweg;193;47804;Krefeld;w.schmelzle@bauermeister.none;wahr;24081949;;3636;zueuAkEA
76;1401551;;Şaziment;Hoffmann;24051939;In der Herrenwiese;24;57614;Borod;azimenthoffmann@ruhof.none;wahr;17081960;;5576;QzqrmVuSoOiiAßpZ
77;7141386;;Ingeburg;Matern;22121964;Hunsrückstraße;14;66822;Lebach;ingeburg_matern@borck.none;wahr;11121997;Borck UG;4729;NiFFdgbPXa
78;2546151;;Burgel;Berninger;31051924;Graf-von-Westphalen-Straße;40;21357;Barum;b_berninger@rickundberninger.none;wahr;10081941;;2902;bMPTÄäsÄHMnHSOdW
79;1310423;Frau;Milli;Reichmann;31011980;Hockelbachstraße;74;35794;Mengerskirchen;milli.reichmann@reichmann.none;wahr;12061983;Reichmann KG;1280;w QFWÄufJi 
80;5548523;Herr;Jonas;Lewis;22041928;Schütte-Lanz-Strasse;129;85411;Hohenkammer;jonas-lewis@eichhorst.none;falsch;2011941;;2230;qMgMGVmtVÜKZ
81;7152474;Frau;Manja;Pries;9111962;Schloßstr.;85;66352;Großrosseln;manja.pries@braunundpries.none;wahr;28012022;;269;wYJqRÖTbKRkÜC
82;5994831;;Mirco;Holtz;31051978;Schleusenweg;96;24326;Kalübbe;m-holtz@kubeundholtz.none;wahr;15021998;;1859;XktrBmmtySbELP
83;4146154;Herr;Heinzdieter;Zuber;5011997;Berkenhofskamp;198;27321;Morsum;heinzdieter_zuber@lohnerundzuber.none;falsch;1042012;;6068;lHOjFBgrp
84;6353250;Frau;Katarina;Reinholz;8101910;Am Stübchenstück;190;84144;Geisenhausen;katarina_reinholz@hausen.none;wahr;10051926;;3371;icalFqÖJVZÜ
85;4767629;Frau;Gunthild;Dedo;3061970;Am Weißen Kreuz;65;;54608 Oberlascheid;g-dedo@dedoundbrose.none;wahr;4111989;Dedo und Brose KG;1777;XqpöuNIwCZlgUJJg
86;6994730;;Lynn;Grewe;18061970;Hillernstraße;5;56242;Ellenhausen;l.grewe@thomann.none;falsch;25021996;;2150;CXvtlQpnerT
87;4866331;;Wigand;Heppner;13081987;Am Bahnhof;169;97215;Weigenheim;wigand-heppner@kuhrundheppner.none;falsch;8042005;;598;kß nESMyd
88;5553042;;Radegundis;Arend;17021915;Steinhardtstraße 104;;;78662 Bösingen;radegundis-arend@grasse.none;wahr;27121999;;3606;ÖpBmßAamiXbUg
89;2134048;Herr;Lienhard;Scharff;8081930;Seelbacher Str.;64;76597;Loffenau;l_scharff@latsch.none;wahr;1011966;;1487;nniVpMÖjQxS
90;7011742;;Annkatrin;Westphalen;28012001;Fasanenstraße;145;91619;Obernzenn;annkatrinwestphalen@kiss.none;wahr;16022002;Kiss GmbH;2118;QyDÖvvswimiC
91;8212134;Frau;Fanta;Ederer;30101948;Seckacher Straße;71;35440;Linden;f_ederer@dangelmaierundederer.none;falsch;24072015;;2269;RdMKHÜOa
92;9435555;;Gangolf;Selzer;13111961;Am Ziegenberg;104;91589;Aurach;g_selzer@selzer.none;wahr;7011982;Selzer GbR;139;bAvTvxXÖwjÄÜ
93;7667930;;Luka;Antal;14041961;Ostesch;104;74744;Ahorn;lukaantal@krafczyk.none;falsch;10011963;Krafczyk OHG;3380;PöÜlaeZMkBihP
94;1310200;Frau;Nobuyo;Flores;8011963;Auf dem Hügel;196;54675;Hüttingen;nobuyoflores@kraufl.none;falsch;27052004;Kraufl GmbH;473;xtxgJhuCubFFfß
95;9735122;;Gertwin;Golz;5051952;Triaccaweg;70;13059;Wartenberg;gertwin.golz@degner.none;wahr;3121963;;1607;tqmQötOnPjWJTj
96;6371067;;Jons;Wenig;25111971;Siebenbürgenstraße 43;;54294;Trier;j_wenig@siegfried.none;falsch;11061979;;1037;ßÜSKxmLUI
97;2558473;;Ornulf;Eisenbach;24061997;Olfener Straße;156;54518;Minderlittgen;ornulf.eisenbach@meis.none;wahr;8122020;;5609;OYjJkkYäJMzA
98;6647795;;Helmine;Leutner;3101925;Rotthauser Str.;161;56379;Geilnau;helmine.leutner@leutner.none;wahr;5031981;;2070;zRÖKiNPhT
99;6475485;;Eslia;Eyler;16021923;Rüscheider Weg;52;12683;Biesdorf;esliaeyler@soelter.none;falsch;21051965;Sölter KGaA;4376;ShpÜSpxNI
100;1586742;;Arnulf;Spieß;2041948;Eltzer Straße;33;79689;Maulburg;a_spiess@bohrmannundspiess.none;wahr;22051989;;165;UjPTbFxQiBb w
101;9282447;;Mayk;Fricke;22071913;Sperlingweg;51;65623;Netzbach;maykfricke@gruef.none;wahr;9101994;;4823;ÜG gJOvWG
102;8417611;Herr;Sieghardt;Redlich;27011939;Laschenhütte 20;;;55595 Burgsponheim;sieghardtredlich@gohlundredlich.none;falsch;6112010;;2194;HaqREFSGSeGÄs
103;2660134;;Arthur;Staib;16041984;Eichholzweg;140;24576;Weddelbrook;a-staib@knecht.none;wahr;11062021;;2714;j TTDtxBäV
104;3734201;Herr;Ingfried;Hilmer;27071955;Hansenstraße;199;83684;Tegernsee;ingfriedhilmer@hichri.none;wahr;20042009;Hichri GbR;3607;OEFysiPArpMaüy
105;9007138;;Urte;Heintze;16091963;Steinbachstraße;151;9241;Mühlau;urte-heintze@kiuh.none;wahr;14082020;;4120;EEfYeNilSVGa
106;1787465;;Ferfried;Hövel;3121990;Höhner Straße;176;;29355 Beedenbostel;ferfriedhoevel@zhhoe.none;wahr;5121993;;7039;ßÄäqnvImY
107;2442850;Frau;Alexandra;Weinfurtner;2031992;Unterm Wahlberg;40;56357;Niederwallmenach;a_weinfurtner@rudel.none;falsch;18112008;;5315;ISBppöÜIxTECLFV
108;5082965;;Victorino;Ghazzati;31121963;Wolfgangstraße;116 c;49762;Fresenburg;victorino_ghazzati@maron.none;wahr;6061974;;3698;vhWnwtogmÖo lV
109;1743828;;Wastl;Greene;14092003;Am Thekbusch;31;47055;Duisburg;wastl_greene@homann.none;falsch;15042015;;2327;BOmSULpxdäyVZc
110;8503800;;Ann;Korten;20121908;Unverhofftstraße;47;94360;Mitterfels;ann.korten@pfalzgraf.none;wahr;12091923;Pfalzgraf KG;5504;cbuxZgxUntHpNYI
111;8825256;;Alwina;Turnovský;15012005;Marschallstr. 61;;86738;Deiningen;alwina.turnovsk@leist.none;wahr;13062023;;2845;frvqUNX VÄoJßk
112;9524883;;Irena;Balčytis;16041968;Pfuhlwiese;200;56237;Deesen;irena.balytis@ohlsen.none;wahr;13061994;Ohlsen GbR;3544;PFPÜBLdI
113;2178709;;Irlanda;Birkenmeier;23051998;Hinterwiesen;112;54673;Leimbach;irlanda-birkenmeier@kutb.none;falsch;24022001;;5781;BtwIVQXJöVA
114;4087754;Herr;Heiko;Lämmle;11111958;Landwehrstraße;141;17139;Kummerow;heiko-laemmle@grulaem.none;falsch;15061997;;3329;üIHMCrÜßqPkO
115;5743882;;Layla;Herde;12121991;Alte Bahnhofstraße;93;;77704 Oberkirch;laylaherde@deruher.none;wahr;17072002;;1506;KgDVtsNhUJ
116;2325517;;Elmar;Hube;11091983;Zur Talsperre 78;;50127;Bergheim;elmar_hube@kaltenecker.none;wahr;6091996;;475;ynSÜÜNfoöJDüWb
117;5412704;Herr;Justyn;Provinzial;19032003;Klippe;19;25335;Raa-Besenbek;justyn.provinzial@elster.none;wahr;30032022;Elster GbR;5678;ADhGKMKYß
118;9154015;;Katrin;Watzke;22111977;Wippeskuhlen;72;36160;Dipperz;katrinwatzke@haubold.none;wahr;21072011;;1579;KRbApvüErl
119;1131469;;Trixi;Welch;1031999;Wagnerweg;39;25557;Bornholt;t.welch@amrhein.none;falsch;30032019;;5688;SsekmLuyjgDCT
120;8836683;;Adalbert;Streicher;25021987;Hillscheider Weg;31;22958;Kuddewörde;a_streicher@schnurr.none;falsch;10071991;;5577;gÖhgwlmWIkqQXaf
121;5335475;;Sunhild;Wall;7011952;Am Reißberg 30;;66957;Schweix;sunhild_wall@zirngibl.none;wahr;13081974;;1599;nYEWÖXeMg
122;9987501;Frau;Gerheide;Scheck;27021985;Lohner Str.;109;49549;Ladbergen;gerheide.scheck@scheck.none;falsch;23032017;;6059;mxgüXStup
123;5115489;Herr;Eckehardt;Köpf;23051932;Hachhausener Str.;193;56769;Mannebach;eckehardtkoepf@rukoe.none;falsch;17091992;Rukö OHG;928;SkNbRVsZAzÄ
124;1257481;;Isabell;Hilz;23121958;Gaulental;130;89269;Vöhringen;isabell.hilz@dotterweich.none;falsch;9042016;Dotterweich KG;1465;BZQHtväÖäröGyjsF
125;2470234;;Livia;Neurohr;16071985;Beethovenstraße;181;27404;Ostereistedt;livia-neurohr@breitwieser.none;falsch;9022016;Breitwieser GbR;6242;ÜhÜsWRXITYeß
126;4031160;;Bianca;Spiecker;26081936;Kleinenbroicher Straße;20;24326;Ascheberg;b-spiecker@hartliebundspiecker.none;wahr;26031971;;2757;nzÖEObkd
127;9978038;;Lorelies;Lauenstein;22081927;Domhofstraße;146;54655;Sankt Thomas;lorelies_lauenstein@blankenburg.none;wahr;1051941;;5489;xqRtRqIQQLm
128;6466528;;Enno;Starke;16021910;Mainstraße 67;;52525;Heinsberg;enno.starke@los.none;falsch;13121974;;2693;WyÄocEpyWFhxR
129;5265533;;Gilmar;Schach;12071918;Reinharzstr.;26;24850;Hüsby;gilmar.schach@aas.none;wahr;16091951;Aas AG;4791;BfrßYNHEGEEdjQ
130;7354321;;Aaron;Remersberger;13091999;Bremsheide;178;6308;Siersleben;a-remersberger@hoeppner.none;falsch;14122012;;5606;nÄiYmemTTkuxYj
131;6053303;;Lukas;Elm;21051997;Kurt-Schumacher-Platz;35;26409;Wittmund;lukas-elm@baettermannundelm.none;falsch;3022004;;4655;BUdhrXmRDVkäOIC
132;1431461;;Ribana;Frohberg;10091959;Haardtstraße;44;;89358 Kammeltal;ribana-frohberg@ammer.none;falsch;26091990;;2252;Ä  tEOEnfdcRPpV
133;8623438;;Alazne;Weichel;8011969;Westerbachstraße;116;37083;Göttingen;alazne-weichel@kus.none;falsch;31122019;;396;xJGRCTiHpxmUCn
134;3693752;;Reinulf;Schöneberg;26021960;Im Mühlengrund;161;93449;Waldmünchen;reinulf.schoeneberg@bienert.none;wahr;29052003;;1665;eJBHeggABHMV
135;1597641;;Edelbert;Fritzsche;19071929;Wildenbruchstraße;160;89129;Nerenstetten;edelbert-fritzsche@schimanski.none;wahr;7091939;;3396;CäxÖGaSLöyt
136;5473771;;Romana;Diedrich;15032005;Zum Oberdorf;78;83451;Piding;romanadiedrich@bendie.none;wahr;2102018;;4533;MkIlmxJyisYgh
137;5404772;;Christof;Kölle;6121962;Unter der Lay;105;;24986 Rüde;c-koelle@herzbergundkoelle.none;wahr;23081995;;359;DxRqpjkO
138;7187111;Frau;Mariedore;Collins;24071950;Kiebitzpohl;165;41844;Wegberg;mariedore.collins@collinsundwirsing.none;falsch;10112001;Collins und Wirsing KGaA;3991;qDGjVVgFub
139;7932448;;Luitgart;Kleinke;28101958;Bebelstraße;38;45136;Essen;l_kleinke@kleinke.none;wahr;4081977;;4674;kHMZRtgQhF
140;7971285;;Silva;Kegler;13091956;Bentheimer Str.;105;65326;Aarbergen;silva.kegler@ahmedundkegler.none;wahr;27092007;;3912;RULEMnäöXgBoQ
141;7944782;;Leona;Dahlem;13071931;Birchring;22;85646;Anzing;leona-dahlem@obudah.none;falsch;7091959;;3304;EmÄYuWGE
142;8197698;Frau;Hermelinda;Eber;10021996;Wolkener Weg;38;66540;Neunkirchen;heber@schwarzfischer.none;falsch;21052022;;4356;HüÖkqßPtd
143;2303905;;Shaylee;Bley;26112002;Meckmannweg 200;;29365;Sprakensehl;shaylee.bley@blunck.none;falsch;30032006;;6532;zFeRjZefbÄäÄfi
144;3490712;;Welfhard;Durmus;25031981;Berghagen;153;90599;Dietenhofen;welfhard-durmus@fdu.none;falsch;16042019;;6896;xIMzWCvmDfq bth
145;1770424;;Marlit;Baumgärtel;3071950;Emdener Str.;34;63739;Aschaffenburg;marlit-baumgaertel@baumgaertel.none;wahr;9012017;Baumgärtel KGaA;1886;XbJdygÄyNW
146;2558358;;Deborah;Graßmann;14031989;Steinkamp;122;82178;Puchheim;d_grassmann@majewski.none;wahr;24041995;Majewski KG;5731;TÄÜävUENy
147;2042653;;Elena;Janning;10051941;Buntwolfstraße;195;76187;Karlsruhe;elena_janning@poerj.none;falsch;18021989;;6407;hMWvNYbuSxxAJebC
148;9565489;;Marvin;Jungnickel;1081986;Ratinger Str.;99;24644;Loop;marvinjungnickel@rautenberg.none;falsch;30042001;;5918;VgpPuEYÜözZfgÜW
149;7132771;;Vinzenz;Klinkenberg;31071959;Steinwiesstraße 169;;54673;Uppershausen;vinzenzklinkenberg@pareis.none;wahr;28122021;;6372;gEpSdfbtjkJlPCXä
150;2909488;;Jennifer;Schall;25041972;Orchideenweg;174;79739;Schwörstadt;jennifer-schall@bergenundschall.none;wahr;15081974;;1522;lühßxjÖö
151;9332341;;Torsten;Mertel;8121926;Minartzstrasse;83;;74366 Kirchheim am Neckar;torsten_mertel@vos.none;falsch;27041996;;4026;eLäVvAeßOPaVba
152;9753404;;Ursula;Leeb;14021996;Orchideenstraße;116;55621;Hundsbach;ursula_leeb@koeppe.none;falsch;1062022;;1232;wezn tcZaLU
153;7416742;;Follrich;Dintzsch;29051945;Im Wickelfeld 113;;78112;Sankt Georgen;follrich_dintzsch@tid.none;falsch;27121995;;3655;uFAJHnkh
154;1574512;;Greta;Jäntsch;10011988;Zum Guten Hirten;134;24235;Lutterbek;g.jaentsch@elstnerundjaentsch.none;wahr;23052021;;6057;ODlOIlmSlö
155;5571540;;Uschi;Lautner;16091974;Auf der Hell 18;;49809;Lingen;uschi_lautner@hoehle.none;falsch;2092001;Höhle GbR;1605;MdNänsnEögkIÖT
156;4366255;;Erlinda;Rief;22111972;Grünenthal 192;;74858;Aglasterhausen;erief@krohn.none;falsch;13081987;Krohn GmbH & Co. KG;3513;mthtHzdcxg
157;9533083;;Muthild;Oelers;14091998;Serkenroder Strasse;187;;78595 Hausen ob Verena;muthildoelers@donatundoelers.none;wahr;25102020;Donat und Oelers GbR;4039;WfqTüQLAHYMOP
158;3786325;;Gottfriede;Snyder;27051903;Holzplatz;9;93453;Neukirchen beim Heiligen Blut;gottfriede_snyder@js.none;wahr;29071937;;4571;DdwNöüImrCuvUcUM
159;3207650;Herr;Folkhard;Fürstenau;27121980;Am Krankenhaus;73;66907;Glan-Münchweiler;folkhard-fuerstenau@borkenhagen.none;wahr;11121991;;2419;MkäkBÜbx
160;8053795;;Heinzwerner;Pott;5121958;Krummenäcker;49;84546;Egglkofen;hpott@baerundpott.none;falsch;30051979;;4763;MRCsGeEZÄrc
